sample;genome;method;lineage;timepoint;replicate;library
GRCh38_ERCC92_velo-CMdiff-d10-820-Z31_S5;GRCh38;ERCC92;velo;Cmdiff;d10;820
GRCh38_ERCC92_velo-CMdiff-d12-824-Z30_S9;GRCh38;ERCC92;velo;Cmdiff;d12;824
